date,Dynamic Global FI Fund F,Dynamic Credit Abs Return F,Dynamic Short Term Credit PLUS F,DXDB Dynamic Discount Bond ETF,Lysander-Canso Corp Value Bond F,Lysander-Fulcra Corp Sec F,Pender Corporate Bond F,XIG US IG Corp Bond (CAD Hdg),XCB Cdn Corporate Bond,PIMCO Monthly Income F,Manulife Strategic Income F,RBC Global Bond F,Mackenzie Unconstrained FI F,RBC Core Bond F
2026-01-02,19.6183,8.6621,,21.1398,14.002,9.4629,13.8188,19.476,19.8435,17.9876,11.0907,9.1634,8.7315,9.7031
2026-01-05,19.6183,8.6705,,21.2184,14.0363,9.4649,13.864,19.5251,19.8927,18.0072,11.1083,9.1758,8.7444,9.7229
2026-01-06,19.6379,8.6751,,21.2283,14.0352,9.4759,13.9277,19.5153,19.8828,18.0367,11.1264,9.1793,8.7468,9.7253
2026-01-07,19.6575,8.6782,,21.2479,14.0609,9.4828,13.9477,19.5448,19.9221,18.0465,11.1374,9.1935,8.7615,9.7412
2026-01-08,19.6281,8.6793,,21.2184,14.0603,9.484,13.9416,19.4858,19.932,18.0269,11.1366,9.1847,8.7501,9.7344
2026-01-09,19.6379,8.6824,,21.2676,14.0786,9.4906,13.9611,19.5546,19.9615,18.0318,11.1511,9.1926,8.7618,9.7465
2026-01-12,19.6477,8.6911,,21.2577,14.0752,9.4979,13.9933,19.5153,19.9516,18.0219,11.1497,9.1941,8.7573,9.7434
2026-01-13,19.6477,8.6858,,21.2479,14.076,9.507,14.001,19.5644,19.9418,18.076,11.1533,9.1878,8.7656,9.7434
2026-01-14,19.6575,8.6888,,21.2971,14.0966,9.51,14.0171,19.6136,19.9811,18.0858,11.1618,9.2001,8.7795,9.7568
2026-01-15,19.6674,8.6916,,21.3167,14.1071,9.5169,14.0236,19.5841,20.0303,18.0563,11.1644,9.1974,8.7818,9.7624
2026-01-16,19.6674,8.693,,21.3069,14.096,9.5238,14.0048,19.535,20.0106,18.0956,11.1571,9.1832,8.7707,9.756
2026-01-19,19.6674,8.6959,,21.2774,14.0919,9.5288,14.0175,19.643,19.9909,18.0465,11.1532,9.1735,8.7688,9.7513
2026-01-20,19.6379,8.6898,19.8959,21.2872,14.0689,9.5122,14.0236,19.4072,19.9516,18.0465,11.1247,9.1381,8.7457,9.7294
2026-01-21,19.6477,8.6964,19.8861,21.2774,14.0783,9.5176,14.067,19.5251,19.9811,17.9777,11.1366,9.1585,8.7602,9.7424
2026-01-22,19.6477,8.7046,19.9056,21.3265,14.0985,9.5284,14.1413,19.5644,20.0106,18.023,11.1532,9.1692,8.7661,9.7511
2026-01-23,19.6575,8.7022,19.9447,21.3364,14.0932,9.5251,14.1514,19.5743,20.0008,18.0574,11.1451,9.173,8.7612,9.7479
2026-01-26,19.6674,8.7123,19.9642,21.3364,14.1209,9.5271,14.2097,19.5939,20.0597,18.0771,11.1641,9.1908,8.7705,9.7657
2026-01-27,19.6762,8.715,19.9397,21.3413,14.1106,9.5177,14.212,19.5525,20.0203,18.0378,11.1521,9.184,8.7625,9.7534
2026-01-28,19.6762,8.7164,19.9495,21.3512,14.1099,9.5256,14.2537,19.5229,20.0302,18.0771,11.1465,9.1838,8.7537,9.7506
2026-01-29,19.6959,8.717,19.9692,21.3709,14.1143,9.5204,14.2203,19.5328,20.0499,18.1066,11.1428,9.1889,8.7525,9.7486
2026-01-30,19.6959,8.7182,19.9692,21.3906,14.1109,9.5075,14.0563,19.5229,20.0499,18.0673,11.134,9.1832,8.7489,9.7528
